fecha,y,c,g,fbkf,ve,x,i
1/03/2013,103820.80,85797.80,9430.00,14520.90,4608.90,23778.60,34315.40
1/06/2013,102184.70,88653.20,11800.30,15653.30,-806.90,23284.20,36399.50
1/09/2013,102183.60,89342.20,12004.10,16060.50,-356.10,21766.40,36633.40
1/12/2013,108194.20,92457.40,13766.70,16599.90,-314.40,22767.50,37082.80
1/03/2014,109552.80,91286.40,10327.30,15782.30,3433.80,24335.80,35612.70
1/06/2014,109449.40,94476.10,12335.20,16956.00,-1381.20,24870.10,37806.80
1/09/2014,111306.30,96901.20,12904.20,17134.90,-1704.40,24269.50,38199.10
1/12/2014,117017.80,98762.40,14781.70,17994.20,-798.30,23792.90,37515.10
1/03/2015,117970.10,96685.10,11854.00,16063.80,3054.30,24243.50,33930.60
1/06/2015,116185.80,98930.00,12490.70,16285.10,-579.70,24496.70,35437.00
1/09/2015,118687.20,101397.70,13431.50,17794.00,-37.10,23367.00,37265.90
1/12/2015,123179.80,104357.20,15005.70,18959.30,-954.20,22287.70,36475.90
1/03/2016,123926.00,102930.60,11258.20,16074.10,2084.10,23867.40,32288.40
1/06/2016,122825.60,105156.60,11559.60,17451.80,-99.20,24118.60,35361.90
1/09/2016,124455.40,106686.30,13969.90,17129.30,-1302.60,22703.10,34730.60
1/12/2016,130794.60,109740.40,15623.00,18981.00,-731.20,23451.70,36270.30
1/03/2017,131607.70,108290.60,11743.60,16767.70,3592.30,25904.70,34691.10
1/06/2017,127547.60,109359.00,11981.50,17160.50,-1042.00,24993.90,34905.40
1/09/2017,130149.10,112015.10,14301.10,18707.70,-2063.40,23188.10,35999.70
1/12/2017,136896.10,117253.90,17541.00,18988.60,-448.80,23291.10,39729.80
1/03/2018,136281.90,114476.30,12608.10,16982.30,2483.20,25350.80,35618.90
1/06/2018,134313.90,115356.40,13602.00,18736.20,1430.40,25489.40,40300.40
1/09/2018,136155.50,117560.90,15839.60,19566.50,-910.20,24692.60,40593.90
1/12/2018,143038.70,124483.00,18475.00,20401.70,-2386.50,24647.10,42581.50
1/03/2019,144268.50,121824.50,13481.50,18305.90,4217.00,26221.60,39782.00
1/06/2019,144374.00,123330.80,14525.10,21068.90,90.40,26401.20,41042.40
1/09/2019,147661.20,124865.20,17514.40,21954.60,-762.90,25721.50,41631.60
1/12/2019,154113.20,131138.90,19865.30,22657.50,-1822.80,26136.00,43861.70
